timestep,ep_rew_mean,ep_len_mean,success_rate,grasp_success_rate,place_success_rate,first_grasp_step_mean,grasp_transitions_mean,max_height_mean,n_episodes
352256,-185.22080384000003,700.0,0.0,0.54,0.0,57.41,1.63,0.07940484103432868,100
360448,-185.62591003999998,700.0,0.0,0.54,0.0,54.0,1.63,0.07927824675465306,100
368640,-184.50357796000003,700.0,0.0,0.51,0.0,51.21,1.49,0.07895676920568341,100
376832,-181.81676679999998,700.0,0.0,0.52,0.0,51.84,1.37,0.07908709613399006,100
385024,-181.53471549999998,700.0,0.0,0.52,0.0,51.34,1.35,0.07970790539491981,100
393216,-182.05818378,700.0,0.0,0.52,0.0,51.05,1.24,0.07969649252780202,100
401408,-180.60143046000002,700.0,0.0,0.5,0.0,47.93,1.17,0.07988857449541091,100
409600,-181.03318813000004,700.0,0.0,0.52,0.0,50.3,1.2,0.07999565328136847,100
417792,-182.50284825000003,700.0,0.0,0.49,0.0,44.04,1.14,0.07329843510784134,100
425984,-182.76459205999998,700.0,0.0,0.48,0.0,42.37,1.18,0.07342880457511815,100
434176,-182.35513059999997,700.0,0.0,0.51,0.0,38.41,1.37,0.07374426615969366,100
442368,-182.84394946999998,700.0,0.0,0.53,0.0,39.81,1.44,0.07324838427497009,100
450560,-184.17362036999995,700.0,0.0,0.5,0.0,33.74,1.42,0.0731192361225656,100
458752,-185.17284775999997,700.0,0.0,0.43,0.0,33.68,1.27,0.07233550180334322,100
466944,-185.37032229,700.0,0.0,0.45,0.0,32.67,1.28,0.07236149192162465,100
475136,-187.09298263999997,700.0,0.0,0.48,0.0,36.97,1.39,0.07259156185790756,100
483328,-187.29029461000002,700.0,0.0,0.49,0.0,36.84,1.39,0.07254845734208634,100
491520,-186.33799180000003,700.0,0.0,0.53,0.0,41.27,1.59,0.07266687191314986,100
499712,-186.47994899000003,700.0,0.0,0.59,0.0,46.82,1.76,0.07336170561704654,100
507904,-186.25092880999998,700.0,0.0,0.55,0.0,45.13,1.81,0.07439325618577636,100
516096,-186.21095576999997,700.0,0.0,0.58,0.0,47.66,1.92,0.07505327518547265,100
524288,-184.94089871999998,700.0,0.0,0.59,0.0,44.99,2.14,0.07518699438265956,100
532480,-185.75821087999998,700.0,0.0,0.61,0.0,46.52,2.29,0.07547328538462093,100
540672,-185.53076572,700.0,0.0,0.58,0.0,48.82,2.23,0.07528341556453037,100
548864,-185.50568947999997,700.0,0.0,0.58,0.0,52.44,2.23,0.07543433697960598,100
557056,-185.95994341000002,700.0,0.0,0.61,0.0,53.07,2.36,0.0758033419002199,100
