timestep,ep_rew_mean,ep_len_mean,success_rate,min_dist_avg_cm,apple_variance_cm,apple_max_lift_cm,apple_max_drop_cm,z_range_cm,final_apple_z_m,final_gripper_open,open_dist_cm,release_dist_cm,n_episodes
208750,33.014101960000005,250.0,0.45,17.91529050266201,52.219891873272985,34.25639867782593,34.977126121521,35.35652160644531,0.944089949131012,0.6503043326464566,20.679405746262496,30.30161531134085,100
209000,30.71063091,250.0,0.44,17.621329509919242,52.33320466109684,34.234896302223206,34.921178221702576,35.29379963874817,0.9445520043373108,0.6565488981349128,20.388816774233018,29.858533552448662,100
209250,27.15899908,250.0,0.43,17.482036721418826,52.666656280818735,34.24445688724518,34.92496311664581,35.291045904159546,0.9446444511413574,0.6625743560623705,20.33450025490132,29.663363955261413,100
209500,20.43510014,250.0,0.42,17.387594028921992,53.02645266056061,34.26550030708313,34.93853509426117,35.29830873012543,0.9447150826454164,0.6683920395785364,20.40201295841266,29.67692672050205,100
209750,13.753093510000006,250.0,0.41,17.307908608878066,52.90246504848286,34.23094749450684,34.89181101322174,35.24548411369324,0.9448125958442688,0.6570633609416121,20.47490472649816,29.67585514031224,100
210000,14.58099436,250.0,0.4,17.113066331172984,52.82564664880434,34.200531244277954,34.816136956214905,35.163918137550354,0.9452498555183412,0.6627789715925853,20.21181084892998,29.478689997146528,100
210250,14.06495446,250.0,0.39,16.97769103052675,52.934918882416895,34.189027547836304,34.76773202419281,35.10981202125549,0.9456444978713988,0.6683071851730347,19.92942220901255,29.304685571887457,100
210500,8.75902839,250.0,0.38,16.84319053986861,53.246062272979366,34.1746598482132,34.75331366062164,35.089874267578125,0.9457058906555176,0.6736570692831471,19.94796184490814,29.454513585134865,100
210750,10.57565687,250.0,0.37,16.655572252495894,53.323113492556985,34.16137993335724,34.70012545585632,35.03134250640869,0.9460978507995604,0.6788371158024621,19.6893236627483,29.34931811713984,100
211000,12.67057489,250.0,0.36,16.503560097771697,53.46370586194098,34.14549231529236,34.64648127555847,34.972524642944336,0.9464914798736572,0.6838552858680487,19.41764952504101,29.389578819973394,100
211250,15.25734478,250.0,0.35,16.37721686122509,53.67734042497781,34.12937819957733,34.594470262527466,34.91549789905548,0.9468281269073486,0.6887190507008479,19.218718320650872,29.317318287033302,100
211500,15.402530649999996,250.0,0.34,16.2286830078246,53.67177413268522,34.129372239112854,34.589165449142456,34.9053293466568,0.9468759298324584,0.6782839135690168,19.034821763676018,29.077548911851466,100
211750,13.308224389999996,250.0,0.33,16.014511291104466,53.80516830664962,34.10158157348633,34.55663323402405,34.86807942390442,0.9469185471534728,0.6681602730679868,19.005216095397834,28.750939483740435,100
212000,8.360959269999995,250.0,0.32,15.901521250934286,53.992386907339096,34.08467769622803,34.53381061553955,34.84067618846893,0.9469611048698424,0.6730402690522811,19.02371829858244,28.433047382927995,100
212250,4.4150272399999935,250.0,0.31,15.892963616204431,54.09819280755692,34.06085968017578,34.52371954917908,34.826138615608215,0.9470032453536988,0.6777788158776104,19.003369296565573,28.71428116400173,100
212500,6.697917659999994,250.0,0.3,15.749176163226366,54.2014564360891,34.08000469207764,34.50878858566284,34.806886315345764,0.947355091571808,0.6823819756507874,18.84098555526913,28.42728865465948,100
212750,-0.7802419200000077,250.0,0.29,15.9214541709549,54.16954995041162,34.105491638183594,34.459057450294495,34.76942479610443,0.95009183883667,0.6868554689514805,18.989562317312696,28.68854776549507,100
213000,0.5524202999999932,250.0,0.28,15.816883160732688,54.15964652266767,34.11675989627838,34.44534540176392,34.751397371292114,0.9503703713417052,0.6912046985493766,18.765667066083573,28.5928208536158,100
213250,1.2356003599999943,250.0,0.27,15.698093846950629,54.179003099872645,34.1113805770874,34.409299492836,34.71116125583649,0.9506282210350036,0.6954347711719878,18.55470396251821,28.804359753450303,100
213500,-2.272474650000003,250.0,0.26,15.67312523068206,53.9805997867842,34.09635126590729,34.39137935638428,34.68916118144989,0.9506260752677916,0.6995505175075015,18.540935819143883,28.792370991731016,100
213750,-10.16868954,250.0,0.25,15.560417490700882,54.45838705698649,34.07237529754639,34.56042408943176,34.854236245155334,0.9486481547355652,0.7035565106074015,18.95752231618308,28.552343423167866,100
214000,-8.944207839999999,250.0,0.24,15.436856152097644,54.395578291855365,34.06606614589691,34.520283341407776,34.810230135917664,0.9489404559135436,0.6942991880994094,18.75635247516465,28.50362550173152,100
214250,-11.65127634,250.0,0.23,15.372334447290218,54.55895573287816,34.06597971916199,34.514111280441284,34.800294041633606,0.9489806294441224,0.6982693285137028,18.711791801270905,28.39185403442228,100
214500,-10.894029200000002,250.0,0.22,15.292025918666369,54.494937375569954,34.05689895153046,34.481725096702576,34.76423919200897,0.9491828680038452,0.7020329252267495,18.54628514183505,28.36093365286405,100
214750,-19.78161629,250.0,0.21,15.29159927622804,54.76536973367764,34.04615819454193,34.479114413261414,34.75805222988129,0.9491779804229736,0.7058046603504615,18.683135213158845,28.31973321735859,100
215000,-18.23786278,250.0,0.2,15.202935773413628,54.78074174374342,34.04923975467682,34.45177674293518,34.727224707603455,0.9494394063949584,0.7094821020960808,18.484653166433947,28.14156054984778,100
215250,-18.48087301,250.0,0.19,15.0951519585502,54.73218659559885,34.03376638889313,34.416189789772034,34.68823730945587,0.949694573879242,0.713068742810944,18.376028968933245,27.86410566833284,100
215500,-21.603406010000004,250.0,0.18,14.991284341256067,54.90152301584802,34.02698636054993,34.38224792480469,34.650978446006775,0.9499266147613524,0.7165679044839812,18.354218927692585,27.908741755456457,100
215750,-22.68393518,250.0,0.17,14.95852842702564,54.8602426267532,34.033480286598206,34.38475430011749,34.65024828910828,0.9499247670173644,0.7199827490082706,18.309717017073183,27.966215362749903,100
216000,-31.673200350000005,250.0,0.16,14.923002994397566,54.852852260782605,34.04267728328705,34.3906432390213,34.65297520160675,0.949923038482666,0.7233162877105531,18.441340491622444,28.09819123219876,100
216250,-38.929929060000006,250.0,0.15,14.982940517365934,54.88478004932404,34.03142690658569,34.38041806221008,34.63966250419617,0.9499213099479676,0.726571390208076,18.51732003661952,28.119361803812136,100
216500,-45.80546568,250.0,0.14,15.067870774154745,54.63393476120261,34.036096930503845,34.17506217956543,34.43129360675812,0.9519820213317872,0.729750792647517,18.560554382188418,28.181760065084283,100
216750,-52.799783180000006,250.0,0.13,15.03509584300477,54.83576682792312,34.03943479061127,34.17900204658508,34.432291984558105,0.951956570148468,0.7328571053757065,18.6316821958476,28.30653623945412,100
217000,-56.843248570000014,250.0,0.13,15.093872846442869,54.85009429129687,34.09734666347504,34.17857587337494,34.48992073535919,0.9519324898719788,0.7245291837237098,18.630565805474586,28.28176737847653,100
217250,-59.67424862000001,250.0,0.12,15.01451940641979,55.0964257690344,34.12013649940491,34.187814593315125,34.4956636428833,0.9521360993385316,0.7163884063784995,18.62013372953969,28.341693908311004,100
217500,-58.666243640000005,250.0,0.11,14.968763546397287,55.34527579943339,34.11467373371124,34.18366014957428,34.48808789253235,0.9521097540855408,0.7195396463076273,18.503156498753828,28.35865737663375,100
217750,-57.67045955,250.0,0.1,14.87266397779132,55.34437947220855,34.136730432510376,34.15961563587189,34.48547422885895,0.952293336391449,0.7226216282163348,18.335491277879463,28.387576194254905,100
218000,-56.30108356999999,250.0,0.09,14.729059550344296,55.32669846130454,34.14991796016693,34.152743220329285,34.47505831718445,0.9524744153022766,0.7256366105183311,18.207863137521542,28.27082303879054,100
218250,-54.40525529999998,250.0,0.08,14.672324115470534,55.34010343654181,34.16385054588318,34.14852023124695,34.46737229824066,0.9526522159576416,0.7285867544912523,18.12291113820249,28.185483733172056,100
218500,-52.11187072999999,250.0,0.08,14.551603796079435,55.410377649550746,34.32283103466034,34.14192199707031,34.60269272327423,0.9528283476829528,0.7208358315711326,17.951817303294803,28.087462278756693,100
218750,-56.85453450999999,250.0,0.07,14.64257742425329,55.42204430228785,34.33157801628113,34.15215313434601,34.60807502269745,0.9528034925460817,0.7237744017651206,17.978865135153505,28.04945255580701,100
219000,-64.48255739999999,250.0,0.06,14.738814829615876,55.30707764749726,34.363341331481934,33.97428095340729,34.45402681827545,0.9546034932136536,0.726651751746734,18.04068464334496,28.01175549005469,100
219250,-64.59244308000001,250.0,0.05,14.661301789594065,55.23602258913296,34.3502551317215,33.94562900066376,34.4204306602478,0.9547519683837892,0.7294697749246027,17.88732699664461,27.90890082563321,100
219500,-70.28246164,250.0,0.04,14.66968721919218,55.08803889459494,34.357792139053345,33.95957052707672,34.42952632904053,0.9547016620635986,0.7322302874253721,17.92840216853488,27.887940847752045,100
219750,-69.07856068999999,250.0,0.03,14.605026061863008,55.14056333387741,34.34736132621765,33.93513858318329,34.400346875190735,0.9548348188400269,0.734935031996833,17.770798900696473,27.75711894336373,100
220000,-76.00952326999999,250.0,0.02,14.56326469220221,55.34396737813949,34.31776165962219,33.910590410232544,34.37114655971527,0.9547841548919678,0.7375856816768647,17.834869057763164,27.69626924395561,100
220250,-70.90485213,250.0,0.02,14.176313208416106,55.61971870064736,34.286296367645264,33.88322591781616,34.32250618934631,0.954965353012085,0.7475856816768647,17.48191222809077,27.48131397366524,100
220500,-65.10267776999999,250.0,0.02,13.924796914681792,55.92142015695571,34.37592387199402,33.884188532829285,34.39256548881531,0.9552231431007384,0.7575856816768646,17.270465077643813,27.424412965774536,100
