#{"t_start": 1777043330.825672, "env_id": "None"}
r,l,t,success,grasp_success,place_success,first_grasp_step,grasp_transitions,max_height
-55.941268,700,22500.805963,False,1.0,0.0,21,17,0.09965540553010599
-48.461736,700,22526.424764,False,1.0,0.0,33,30,0.07370011446953839
-234.219558,700,22546.036469,False,1.0,0.0,31,8,0.0734840471654703
-37.150774,700,22569.809203,False,1.0,0.0,21,7,0.08002870104516357
-101.80022,700,22588.097925,False,1.0,0.0,27,25,0.09484978547947609
-106.901627,700,22609.40436,False,1.0,0.0,32,33,0.07338813893440732
-168.40808,700,22630.904119,False,1.0,0.0,23,15,0.0759645775570339
-204.578963,700,22654.480277,False,1.0,0.0,361,12,0.07289759855004141
-124.496099,700,22680.411823,False,1.0,0.0,28,6,0.07309188562832536
-87.574412,700,22700.567967,False,1.0,0.0,35,20,0.07375208991170656
-156.244768,700,22723.766952,False,1.0,0.0,30,10,0.07321903663504858
-21.458312,700,22747.029545,False,1.0,0.0,48,25,0.07344864110770599
-96.848303,700,22769.189556,False,1.0,0.0,26,5,0.07496226528953565
-189.356469,700,22788.795099,False,1.0,0.0,32,13,0.0735036683004976
-22.008056,700,22813.258266,False,1.0,0.0,32,17,0.07318367029296191
-156.079039,700,22834.918018,False,1.0,0.0,19,49,0.09539985422985853
-46.114734,700,22862.274512,False,1.0,0.0,26,31,0.0910141580385575
-207.91593,700,22889.890782,False,1.0,0.0,33,8,0.08005484378601935
-233.488383,700,22910.765096,False,1.0,0.0,76,6,0.08644534735095855
-54.933358,700,22932.266198,False,1.0,0.0,27,27,0.07643606149525062
-206.823049,700,22952.199215,False,1.0,0.0,25,9,0.09817694206004968
-162.994217,700,22980.686089,False,1.0,0.0,26,18,0.0863717362419626
-252.993872,700,23009.600143,False,0.0,0.0,0,0,0.07046749681221776
-218.122493,700,23039.289468,False,1.0,0.0,44,6,0.0721170455561071
-134.151836,700,23061.069044,False,1.0,0.0,26,18,0.0762468254311579
-13.714967,700,23085.501386,False,1.0,0.0,24,30,0.08692532179003742
-210.767841,700,23111.90604,False,1.0,0.0,60,3,0.0753217083692288
-110.173825,700,23148.0998,False,1.0,0.0,35,12,0.07313343000339223
-94.288595,700,23168.194348,False,1.0,0.0,29,6,0.07116526566598746
-76.136844,700,23196.907041,False,1.0,0.0,23,6,0.09281767990718859
-142.503147,700,23225.203297,False,1.0,0.0,24,21,0.0884777563179906
-145.738989,700,23248.218933,False,1.0,0.0,23,22,0.0830157069130345
-55.344521,700,23274.74504,False,1.0,0.0,27,13,0.08687268522864688
-154.392468,700,23305.743884,False,1.0,0.0,26,9,0.08797556932551509
-103.18285,700,23328.710974,False,1.0,0.0,23,12,0.08243097228982621
-160.810683,700,23358.951272,False,1.0,0.0,29,18,0.07443727434097613
-222.729008,700,23377.268672,False,1.0,0.0,59,12,0.07402591290805582
-240.577317,700,23409.378317,False,1.0,0.0,39,4,0.0737547634274246
-119.740777,700,23436.354573,False,1.0,0.0,28,14,0.08069851612296997
-81.852307,700,23468.025658,False,1.0,0.0,40,44,0.08008371367896405
-50.957341,700,23498.043309,False,1.0,0.0,37,33,0.08072808021533395
-60.295743,700,23531.305409,False,1.0,0.0,25,14,0.09744642778986401
-47.616475,700,23552.484768,False,1.0,0.0,26,7,0.07924327322722668
-119.056438,700,23578.944101,False,1.0,0.0,36,18,0.080507113570492
-39.532929,700,23609.353029,False,1.0,0.0,36,28,0.0792021966235501
-265.994552,700,23629.447007,False,1.0,0.0,89,2,0.08154041198296869
-101.320496,700,23647.717446,False,1.0,0.0,24,14,0.07589560087863179
-67.043824,700,23678.319583,False,1.0,0.0,20,21,0.0920300967653288
-86.250118,700,23702.932325,False,1.0,0.0,22,17,0.07756887727685469
26.510627,700,23721.052636,False,1.0,0.0,27,21,0.07249887936710564
-32.564913,700,23744.45388,False,1.0,0.0,50,21,0.07800104474326897
